Huso,Este,Norte,Leq
18,653785,5588530,73.04
18,653701,5588613,54.99
18,653565,5588532,58.39
18,653850,5588855,66.99
18,652276,5589090,73.07
18,653586,5588801,55.76
18,653775,5589600,64.65
18,653494,5589139,71.04
18,653335,5589414,69.98
18,653286,5588906,68.57
18,651933,5589842,69.36
18,652827,5589828,61.06
18,652614,5590145,69.39
18,652930,5590104,69.66
18,653181,5589836,64.89
18,653199,5590249,67.03
18,653022,5590457,53.67
18,653112,5587430,69.11
18,652752,5589675,69.54
18,652271,5589963,69.35
18,652809,5589051,73.19
18,653110,5588530,68.2
18,653059,5588124,56.68
18,652774,5588256,65.63
18,653377,5587973,68.66
18,652802,5588101,60.24
18,652482,5588990,69.74
18,652991,5589263,65.39
18,652906,5589160,61.72
18,653700,5588074,72.97
18,652405,5588344,64.85
18,652704,5588578,52.42
18,652547,5588079,73.29
18,652737,5588408,71.47
18,652514,5591772,73.4
18,651323,5591087,69.5
18,650420,5590438,67.9
18,650542,5591315,71.7
18,651983,5591661,62.5
18,648942,5591375,64.4
18,649075,5591376,53.1
18,650737,5590077,60.5
18,652490,5592050,61
18,652148,5591203,57.2
18,650850,5590914,62.1
18,651094,5589957,63.9
18,650853,5590245,57.6
18,650577,5590176,62.4
18,649834,5590751,69
18,649702,5591771,61.1
18,650397,5590896,72.7
18,650490,5589517,68.1
18,651837,5591365,61.7
18,650502,5590654,75.1
18,650227,5590791,71.7
18,650060,5591203,73.4
18,650443,5591469,72.3
18,650738,5590933,62.2
18,649999,5590082,55
18,650358,5590311,60.3
18,650055,5590347,60.2
18,649920,5591682,59.3
18,650040,5591113,72.4
18,650407,5591011,60.8
18,650156,5591270,70.5
18,650342,5591479,71.9
18,650212,5591769,61.4
18,651781,5587387,63.3
18,651455,5586902,60
18,651430,5587166,64.1
18,651356,5586762,65.6
18,651445,5586798,66.3
18,651700,5587195,68.6
18,649880,5587462,66.2
18,650350,5587434,71
18,653012,5587670,66.2
18,650960,5587232,58
18,652071,5589272,63.3
18,651554,5588212,65.2
18,651818,5588395,61.8
18,653197,5587696,63.2
18,652147,5588672,65.5
18,652182,5587723,50.1
18,651072,5588978,69.1
18,651544,5588945,60
18,652002,5588618,54.1
18,652003,5588516,53.4
18,651619,5588731,68.5
18,659724,5587247,65.1
18,651364,5589168,57.3
18,651972,5588920,60.6
18,651636,5589422,62.1
18,651351,5589671,65
18,651173,5589028,59.3
18,650760,5589176,58.5
18,651961,5589147,55.3
18,650792,5589062,65.9
18,651990,5588109,65.9
18,651620,5589145,58.5
18,651260,5589135,49.6
