,Huso,Este,Norte,Leq,Latitud,Longitud
0,18,653785,5588530,73.04,-39.83932798105623,-73.20264778018313
1,18,653701,5588613,54.99,-39.83859571833651,-73.20364855142455
2,18,653565,5588532,58.39,-39.839349770585805,-73.20521829597286
3,18,653850,5588855,66.99,-39.83638938796395,-73.20196480086739
4,18,652276,5589090,73.07,-39.834556642428986,-73.22040627629842
5,18,653586,5588801,55.76,-39.836923461120215,-73.20503606137878
6,18,653775,5589600,64.65,-39.8296937792631,-73.20301580929126
7,18,653494,5589139,71.04,-39.83389618491719,-73.20618998399014
8,18,653335,5589414,69.98,-39.831448342772475,-73.20811165616405
9,18,653286,5588906,68.57,-39.836032053363056,-73.20856512966587
10,18,651933,5589842,69.36,-39.82784574218194,-73.22458738459503
11,18,652827,5589828,61.06,-39.827811513769184,-73.21414204954563
12,18,652614,5590145,69.39,-39.82499498669255,-73.21670375420193
13,18,652930,5590104,69.66,-39.82530741592312,-73.21300341176455
14,18,653181,5589836,64.89,-39.82767573091289,-73.21000915622028
15,18,653199,5590249,67.03,-39.823953145749044,-73.20989547151845
16,18,653022,5590457,53.67,-39.82211185065134,-73.21201130413588
17,18,653112,5587430,69.11,-39.84935576046878,-73.2102525368131
18,18,652752,5589675,69.54,-39.82920286881762,-73.21498238950831
19,18,652271,5589963,69.35,-39.82669555216926,-73.22066759801584
20,18,652809,5589051,73.19,-39.83481216396683,-73.21417104663838
21,18,653110,5588530,68.2,-39.83944991653651,-73.21053316713191
22,18,653059,5588124,56.68,-39.84311540104203,-73.21103404690032
23,18,652774,5588256,65.63,-39.84197796610478,-73.2143944258273
24,18,653377,5587973,68.66,-39.844417883853154,-73.20728357342325
25,18,652802,5588101,60.24,-39.84336880678633,-73.21403114001556
26,18,652482,5588990,69.74,-39.835420264115314,-73.21797664508189
27,18,652991,5589263,65.39,-39.832870208099145,-73.21209456360191
28,18,652906,5589160,61.72,-39.83381309360866,-73.21306340395799
29,18,653700,5588074,72.97,-39.84344992424693,-73.20353371034409
30,18,652405,5588344,64.85,-39.84125175738457,-73.21872577491033
31,18,652704,5588578,52.42,-39.83909072820572,-73.21528729784686
32,18,652547,5588079,73.29,-39.84361277063957,-73.21700512536141
33,18,652737,5588408,71.47,-39.840615759043956,-73.21486213697591
34,18,652514,5591772,73.4,-39.81036063218854,-73.21825025203607
35,18,651323,5591087,69.5,-39.81674238966751,-73.23199979537706
36,18,650420,5590438,67.9,-39.82274743434544,-73.24239647926417
37,18,650542,5591315,71.7,-39.81482772125927,-73.24117299744925
38,18,651983,5591661,62.5,-39.81145534786128,-73.2244251412953
39,18,648942,5591375,64.4,-39.8145691781305,-73.25987174320069
40,18,649075,5591376,53.1,-39.81453686159438,-73.25831877252138
41,18,650737,5590077,60.5,-39.825942370425715,-73.23861105708953
42,18,652490,5592050,61.0,-39.80786134209342,-73.21859514536231
43,18,652148,5591203,57.2,-39.815550471287715,-73.22239208740775
44,18,650850,5590914,62.1,-39.81838445953859,-73.2374838710953
45,18,651094,5589957,63.9,-39.826959668289966,-73.2344136399912
46,18,650853,5590245,57.6,-39.82440881275479,-73.23729485499315
47,18,650577,5590176,62.4,-39.8250791589388,-73.24050260453205
48,18,649834,5590751,69.0,-39.82003210610269,-73.2493122174317
49,18,649702,5591771,61.1,-39.810869363197284,-73.2510867606054
50,18,650397,5590896,72.7,-39.81862683209232,-73.2427702000174
51,18,650490,5589517,68.1,-39.83102940262265,-73.24136738762645
52,18,651837,5591365,61.7,-39.81414713910981,-73.22606150488703
53,18,650502,5590654,75.1,-39.82078765945756,-73.24148836443867
54,18,650227,5590791,71.7,-39.819602506457535,-73.24473152773
55,18,650060,5591203,73.4,-39.815921590423436,-73.24677622542042
56,18,650443,5591469,72.3,-39.81345834579939,-73.24236446755668
57,18,650738,5590933,62.2,-39.8182332167742,-73.23879625454067
58,18,649999,5590082,55.0,-39.82602792120364,-73.24723205513453
59,18,650358,5590311,60.3,-39.823902145521764,-73.24309146834793
60,18,650055,5590347,60.2,-39.82363148559122,-73.24663865400379
61,18,649920,5591682,59.3,-39.81163247726432,-73.24852071887653
62,18,650040,5591113,72.4,-39.81673564806568,-73.2469891941471
63,18,650407,5591011,60.8,-39.8175893913126,-73.24267979869762
64,18,650156,5591270,70.5,-39.8153012473665,-73.24567045109471
65,18,650342,5591479,71.9,-39.81338615301384,-73.24354622795795
66,18,650212,5591769,61.4,-39.81079743141156,-73.24513078731081
67,18,651781,5587387,63.3,-39.84998196165413,-73.22579375200816
68,18,651455,5586902,60.0,-39.85440794709837,-73.22949048482893
69,18,651430,5587166,64.1,-39.85203489604634,-73.22984369626134
70,18,651356,5586762,65.6,-39.85568640362824,-73.23061489040278
71,18,651445,5586798,66.3,-39.85534632567622,-73.22958326108491
72,18,651700,5587195,68.6,-39.85172553300156,-73.22669564908128
73,18,649880,5587462,66.2,-39.84964420553605,-73.24802234659602
74,18,650350,5587434,71.0,-39.84981327769968,-73.24252441995773
75,18,653012,5587670,66.2,-39.847212432454384,-73.21147701911873
76,18,650960,5587232,58.0,-39.85152421128334,-73.23535057510068
77,18,652071,5589272,63.3,-39.832954320440656,-73.22284320406636
78,18,651554,5588212,65.2,-39.84259278351848,-73.2286370215526
79,18,651818,5588395,61.8,-39.84089758858339,-73.22559521485854
80,18,653197,5587696,63.2,-39.84694493219026,-73.20932167474561
81,18,652147,5588672,65.5,-39.83834414049578,-73.22181606126749
82,18,652182,5587723,50.1,-39.84688427720665,-73.22118660904908
83,18,651072,5588978,69.1,-39.835780237077,-73.23444483237309
84,18,651544,5588945,60.0,-39.83599336133888,-73.22892348350024
85,18,652002,5588618,54.1,-39.83885640735938,-73.22349741441938
86,18,652003,5588516,53.4,-39.83977481109548,-73.2234620554969
87,18,651619,5588731,68.5,-39.837907207271215,-73.22799781853593
88,18,659724,5587247,65.1,-39.84978577971864,-73.13295714204088
89,18,651364,5589168,57.3,-39.834017167748655,-73.23107771256286
90,18,651972,5588920,60.6,-39.83614204841414,-73.2239179580416
91,18,651636,5589422,62.1,-39.83168120579766,-73.22795920137453
92,18,651351,5589671,65.0,-39.82948958524113,-73.23134578432797
93,18,651173,5589028,59.3,-39.835311982243105,-73.23327653003412
94,18,650760,5589176,58.5,-39.83405251536439,-73.23813507820657
95,18,651961,5589147,55.3,-39.834099717225676,-73.22409912282856
96,18,650792,5589062,65.9,-39.83507349638225,-73.23773502965216
97,18,651990,5588109,65.9,-39.84344246104458,-73.2235194464439
98,18,651620,5589145,58.5,-39.83417865247943,-73.22808197904067
99,18,651260,5589135,49.6,-39.8343328801796,-73.2322849475782
